Index,Churn Reason,Churn Score,Churn Value,City,CLTV,Contract,Dependents,Device Protection,Gender,Internet Service,Is Manual Payment Method,Lat Long,Latitude,Longitude,Monthly Charges,Multiple Lines,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Senior Citizen,Streaming Movies,Streaming TV,Sum Of Additional Services,Tech Support,Tenure Category,Tenure Months,Total Charges,Zip Code
11,Competitor offered higher download speeds,74,1,Los Angeles,3022,Month-to-month,No,No,Female,DSL,Yes,"34.078821, -118.177576",34.078821,-118.177576,64.7,No,No,No,Yes,No,Mailed check,Yes,No,Yes,Yes,2,No,established customers,17,1093.1,90032
12,Competitor offered higher download speeds,66,1,Los Angeles,2454,Month-to-month,Yes,No,Male,Fiber optic,Yes,"34.110845, -118.259595",34.110845,-118.259595,69.7,No,No,No,Yes,No,Electronic check,Yes,No,No,No,0,No,New Customers,5,316.9,90039
13,Competitor offered higher download speeds,65,1,Los Angeles,2941,Month-to-month,Yes,Yes,Male,Fiber optic,Yes,"34.137412, -118.207607",34.137412,-118.207607,106.35,Yes,Yes,No,Yes,No,Electronic check,Yes,No,Yes,Yes,4,No,established customers,34,3549.25,90041
14,Competitor offered more data,70,1,Los Angeles,5674,Month-to-month,Yes,Yes,Female,Fiber optic,No,"34.11572, -118.192754",34.11572,-118.192754,97.85,Yes,No,No,Yes,No,Bank transfer (automatic),Yes,No,Yes,Yes,3,No,New Customers,11,1105.4,90042
15,Competitor offered more data,90,1,Los Angeles,5586,Month-to-month,Yes,No,Female,Fiber optic,Yes,"33.987945, -118.370442",33.987945,-118.370442,80.65,No,No,No,Yes,No,Electronic check,Yes,No,No,Yes,1,No,New Customers,2,144.15,90056
16,Competitor offered more data,82,1,Los Angeles,2966,Month-to-month,Yes,No,Female,Fiber optic,No,"33.92128, -118.274186",33.92128,-118.274186,99.1,No,Yes,Yes,Yes,No,Credit card (automatic),Yes,No,Yes,Yes,4,No,established customers,15,1426.4,90061
17,Competitor made better offer,69,1,Los Angeles,5302,Month-to-month,Yes,No,Female,Fiber optic,No,"34.044271, -118.185237",34.044271,-118.185237,80.65,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,Yes,No,No,1,No,New Customers,8,633.3,90063
18,Competitor made better offer,81,1,Los Angeles,3179,Month-to-month,Yes,No,Male,Fiber optic,Yes,"34.108833, -118.229715",34.108833,-118.229715,95.45,Yes,No,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes,2,No,established customers,18,1752.55,90065
19,Price too high,96,1,Beverly Hills,5571,Month-to-month,Yes,No,Female,Fiber optic,Yes,"34.063947, -118.383001",34.063947,-118.383001,94.4,Yes,No,No,No,No,Electronic check,Yes,No,Yes,Yes,2,No,New Customers,9,857.25,90211
20,Product dissatisfaction,87,1,Huntington Park,2483,Month-to-month,Yes,No,Female,Fiber optic,Yes,"33.97803, -118.217141",33.97803,-118.217141,79.35,No,No,No,Yes,No,Electronic check,Yes,No,No,Yes,1,No,New Customers,1,79.35,90255
21,Service dissatisfaction,70,1,Lynwood,3457,Month-to-month,Yes,Yes,Female,Fiber optic,No,"33.923573, -118.200669",33.923573,-118.200669,75.15,No,No,No,Yes,Yes,Bank transfer (automatic),Yes,No,No,No,1,No,New Customers,7,496.9,90262
22,Lack of self-service on Website,86,1,Marina Del Rey,5806,Month-to-month,Yes,No,Female,Fiber optic,Yes,"33.977468, -118.445475",33.977468,-118.445475,78.95,Yes,No,Yes,Yes,No,Electronic check,Yes,No,No,No,1,No,New Customers,12,927.35,90292
23,Network reliability,66,1,Inglewood,2604,Month-to-month,No,No internet service,Male,No,Yes,"33.956445, -118.358634",33.956445,-118.358634,21.05,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,New Customers,5,113.85,90301
24,Limited range of services,88,1,Inglewood,5337,Month-to-month,Yes,Yes,Female,Fiber optic,Yes,"33.936291, -118.332639",33.936291,-118.332639,98.5,No,Yes,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,4,No,established customers,25,2514.5,90303
25,Lack of affordable download/upload speed,86,1,Santa Monica,5034,Two year,No,Yes,Male,Fiber optic,No,"34.031529, -118.491156",34.031529,-118.491156,110,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,5,Yes,Loyal Customers,68,7611.85,90403
26,Long distance charges,75,1,Torrance,5154,Month-to-month,Yes,No,Male,Fiber optic,Yes,"33.867257, -118.330794",33.867257,-118.330794,96.75,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,No,No,Yes,3,No,Loyal Customers,55,5238.9,90504
27,Extra data charges,67,1,Whittier,2793,Month-to-month,Yes,No,Female,Fiber optic,Yes,"33.972119, -118.020188",33.972119,-118.020188,76.5,Yes,No,No,Yes,Yes,Electronic check,Yes,Yes,No,No,0,No,established customers,37,2868.15,90602
28,Price too high,87,1,Whittier,5998,Month-to-month,Yes,No,Female,Fiber optic,Yes,"33.976678, -118.065875",33.976678,-118.065875,100.25,Yes,No,Yes,Yes,Yes,Electronic check,Yes,No,Yes,Yes,3,No,New Customers,10,1064.65,90606
29,Product dissatisfaction,76,1,La Habra,4415,Month-to-month,Yes,No,Male,Fiber optic,Yes,"33.940619, -117.9513",33.940619,-117.9513,74.4,Yes,No,No,Yes,No,Electronic check,Yes,No,No,No,0,No,New Customers,3,229.55,90631
30,Service dissatisfaction,95,1,Pico Rivera,4638,Month-to-month,Yes,Yes,Female,Fiber optic,Yes,"33.989524, -118.089299",33.989524,-118.089299,78.05,Yes,No,No,Yes,No,Electronic check,Yes,Yes,No,No,1,No,established customers,27,2135.5,90660
31,Lack of self-service on Website,99,1,Avalon,4190,Month-to-month,No,Yes,Female,DSL,No,"33.391181, -118.421305",33.391181,-118.421305,58.6,No phone service,Yes,Yes,Yes,Yes,Credit card (automatic),No,No,Yes,Yes,5,No,established customers,25,1502.65,90704
32,Network reliability,80,1,Harbor City,2301,Month-to-month,No,No,Male,DSL,Yes,"33.798266, -118.300237",33.798266,-118.300237,35.45,No phone service,No,No,Yes,No,Electronic check,No,No,Yes,No,1,No,New Customers,1,35.45,90710
33,Don't know,76,1,Lakewood,2570,Month-to-month,No,No,Male,DSL,Yes,"33.840524, -118.148403",33.840524,-118.148403,44.35,No,No,No,No,No,Electronic check,Yes,No,No,No,0,No,New Customers,2,81.25,90712
34,Don't know,76,1,Los Alamitos,3964,Month-to-month,Yes,No,Female,Fiber optic,Yes,"33.79499, -118.065591",33.79499,-118.065591,70.45,No,No,No,Yes,Yes,Mailed check,Yes,Yes,No,No,0,No,New Customers,1,70.45,90720
35,Don't know,66,1,San Pedro,2662,Month-to-month,No,No,Female,DSL,Yes,"33.736387, -118.284363",33.736387,-118.284363,71.15,Yes,No,Yes,No,No,Electronic check,Yes,No,Yes,No,3,Yes,New Customers,8,563.65,90731
36,Poor expertise of online support,73,1,Carson,2600,Month-to-month,No,No,Male,DSL,Yes,"33.822295, -118.26411",33.822295,-118.26411,45.65,No,No,No,Yes,No,Electronic check,Yes,No,No,No,0,No,New Customers,1,45.65,90745
37,Poor expertise of phone support,94,1,Long Beach,2786,Month-to-month,Yes,No,Male,Fiber optic,Yes,"33.783047, -118.1486",33.783047,-118.1486,95,Yes,No,No,No,No,Mailed check,Yes,No,Yes,Yes,2,No,New Customers,7,655.5,90804
38,Price too high,86,1,Altadena,5719,Month-to-month,Yes,No,Female,Fiber optic,Yes,"34.196837, -118.142236",34.196837,-118.142236,82.4,Yes,No,Yes,No,Yes,Electronic check,Yes,No,No,No,1,No,established customers,20,1592.35,91001
39,Product dissatisfaction,75,1,Monrovia,4287,Month-to-month,Yes,No,Female,Fiber optic,No,"34.1528, -118.000482",34.1528,-118.000482,70.9,No,No,No,Yes,No,Bank transfer (automatic),Yes,No,No,No,0,No,New Customers,4,273,91016
40,Service dissatisfaction,100,1,Sierra Madre,5444,Month-to-month,No,Yes,Male,DSL,Yes,"34.168686, -118.057505",34.168686,-118.057505,45.3,No phone service,Yes,No,Yes,Yes,Electronic check,No,Yes,Yes,No,3,No,Loyal Customers,58,2651.2,91024
41,Lack of self-service on Website,83,1,Tujunga,4690,Month-to-month,Yes,Yes,Female,Fiber optic,Yes,"34.296574, -118.244839",34.296574,-118.244839,104.4,Yes,No,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,4,Yes,New Customers,2,242.8,91042
42,Network reliability,80,1,Pasadena,4328,One year,No,Yes,Female,Fiber optic,No,"34.167465, -118.165327",34.167465,-118.165327,94.85,No,No,No,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,3,No,Loyal Customers,53,5000.2,91103
43,Limited range of services,99,1,Pasadena,5717,Month-to-month,Yes,No,Female,Fiber optic,Yes,"34.139402, -118.128658",34.139402,-118.128658,74.45,Yes,No,No,Yes,No,Mailed check,Yes,Yes,No,No,0,No,established customers,15,1145.7,91106
44,Lack of affordable download/upload speed,81,1,Pasadena,4419,Month-to-month,Yes,No,Female,Fiber optic,No,"34.159007, -118.087353",34.159007,-118.087353,76.45,No,No,Yes,No,No,Bank transfer (automatic),Yes,Yes,No,No,1,No,New Customers,7,503.6,91107
45,Long distance charges,95,1,Glendale,4534,Month-to-month,No,No,Female,DSL,No,"34.167926, -118.267539",34.167926,-118.267539,29.95,No phone service,Yes,No,No,No,Bank transfer (automatic),No,No,No,No,1,No,New Customers,1,29.95,91202
46,Extra data charges,86,1,Glendale,2152,Month-to-month,Yes,No,Male,Fiber optic,No,"34.136306, -118.26036",34.136306,-118.26036,84.5,Yes,No,No,No,No,Bank transfer (automatic),Yes,No,Yes,No,1,No,New Customers,8,662.65,91204
47,Price too high,73,1,Glendale,5142,Month-to-month,Yes,Yes,Female,Fiber optic,Yes,"34.162515, -118.203869",34.162515,-118.203869,79.25,No,Yes,No,Yes,No,Electronic check,Yes,No,No,No,2,No,established customers,13,1111.65,91206
48,Product dissatisfaction,94,1,Glendale,4851,Month-to-month,No,No,Female,DSL,Yes,"34.182378, -118.262922",34.182378,-118.262922,24.8,No phone service,No,No,Yes,Yes,Electronic check,No,No,No,No,0,No,New Customers,1,24.8,91207
49,Service dissatisfaction,94,1,Canoga Park,2283,Month-to-month,Yes,Yes,Male,Fiber optic,Yes,"34.224377, -118.632656",34.224377,-118.632656,91,No,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,No,3,No,New Customers,6,531,91304
50,Lack of self-service on Website,98,1,Mission Hills,3394,Month-to-month,Yes,No,Male,Fiber optic,Yes,"34.266389, -118.459744",34.266389,-118.459744,79.9,No,No,No,No,No,Electronic check,Yes,No,Yes,No,1,No,New Customers,1,79.9,91345
51,Network reliability,71,1,Santa Clarita,3764,Month-to-month,Yes,Yes,Female,Fiber optic,Yes,"34.502432, -118.41459",34.502432,-118.41459,106.6,No,No,Yes,Yes,No,Electronic check,Yes,No,Yes,Yes,5,Yes,established customers,19,1934.45,91350
52,Don't know,76,1,Sun Valley,2667,Month-to-month,No,No,Male,DSL,No,"34.231053, -118.338307",34.231053,-118.338307,46,No,No,No,Yes,No,Credit card (automatic),Yes,No,No,No,0,No,New Customers,2,84.5,91352
53,Don't know,67,1,Stevenson Ranch,2227,Month-to-month,Yes,No,Female,Fiber optic,Yes,"34.364153, -118.615583",34.364153,-118.615583,70.15,No,No,No,Yes,No,Electronic check,Yes,No,No,No,0,No,New Customers,4,268.35,91381
54,Don't know,82,1,Panorama City,3394,Month-to-month,No,No,Male,DSL,Yes,"34.223768, -118.445461",34.223768,-118.445461,50.05,No,No,No,No,Yes,Mailed check,Yes,No,No,No,1,Yes,New Customers,4,179.35,91402
55,Poor expertise of online support,81,1,Van Nuys,3638,Month-to-month,No,No,Female,DSL,Yes,"34.17847, -118.459472",34.17847,-118.459472,55.2,No,No,No,No,Yes,Mailed check,Yes,No,No,Yes,1,No,New Customers,1,55.2,91411
56,Poor expertise of phone support,66,1,Burbank,2484,Month-to-month,Yes,No,Male,Fiber optic,Yes,"34.213049, -118.317651",34.213049,-118.317651,84.6,No,No,Yes,Yes,No,Mailed check,Yes,No,Yes,No,2,No,New Customers,1,84.6,91504
57,Price too high,81,1,North Hollywood,2556,Month-to-month,No,No,Male,DSL,Yes,"34.1692, -118.372498",34.1692,-118.372498,54.4,Yes,Yes,No,Yes,No,Mailed check,Yes,No,No,No,1,No,New Customers,2,114.1,91601
58,Product dissatisfaction,85,1,North Hollywood,5980,Month-to-month,Yes,No,Female,Fiber optic,Yes,"34.207295, -118.400022",34.207295,-118.400022,95,No,Yes,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes,3,No,New Customers,11,1120.3,91605
59,Service dissatisfaction,86,1,Covina,4616,Month-to-month,No,No,Male,Fiber optic,Yes,"34.097345, -117.906736",34.097345,-117.906736,74.4,No,Yes,No,Yes,No,Electronic check,Yes,Yes,No,No,1,No,established customers,15,1074.3,91722
60,Lack of self-service on Website,77,1,Covina,5687,Month-to-month,No,No,Male,DSL,Yes,"34.084747, -117.886844",34.084747,-117.886844,48.55,No,No,Yes,Yes,No,Mailed check,Yes,No,No,No,1,No,New Customers,1,48.55,91723
61,Network reliability,75,1,El Monte,5687,Month-to-month,No,No,Female,Fiber optic,Yes,"34.079934, -118.046695",34.079934,-118.046695,70.4,No,No,No,No,Yes,Electronic check,Yes,No,No,No,0,No,New Customers,2,147.15,91731
62,Limited range of services,65,1,El Monte,5828,Month-to-month,No,No,Male,DSL,Yes,"34.074492, -118.01462",34.074492,-118.01462,40.2,No phone service,Yes,No,No,Yes,Electronic check,No,Yes,No,Yes,2,No,New Customers,1,40.2,91732
63,Lack of affordable download/upload speed,99,1,La Puente,4884,Month-to-month,No,No,Female,DSL,No,"34.031441, -117.936436",34.031441,-117.936436,44.6,No,No,No,Yes,Yes,Credit card (automatic),Yes,No,No,No,0,No,New Customers,2,80.55,91744
64,Long distance charges,96,1,La Puente,2314,Month-to-month,No,Yes,Male,DSL,Yes,"34.038983, -117.991372",34.038983,-117.991372,41.15,No phone service,No,No,Yes,No,Electronic check,No,Yes,Yes,No,2,No,New Customers,3,132.2,91746
65,Extra data charges,84,1,Rowland Heights,2494,Month-to-month,No,Yes,Male,Fiber optic,Yes,"33.976753, -117.897367",33.976753,-117.897367,106.9,Yes,Yes,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes,4,No,established customers,13,1364.3,91748
66,Price too high,83,1,Ontario,5084,Two year,No,No internet service,Male,No,Yes,"34.057256, -117.667677",34.057256,-117.667677,19.35,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,Loyal Customers,59,1099.6,91762
67,Product dissatisfaction,81,1,Ontario,3810,Month-to-month,No,No,Female,Fiber optic,Yes,"34.074087, -117.605618",34.074087,-117.605618,94.45,No,No,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes,3,Yes,established customers,16,1511.2,91764
68,Service dissatisfaction,73,1,Pomona,5087,Month-to-month,No,No,Male,DSL,No,"34.042286, -117.756106",34.042286,-117.756106,24.8,No phone service,No,No,No,No,Bank transfer (automatic),No,No,No,No,0,No,New Customers,1,24.8,91766
69,Lack of self-service on Website,69,1,Pomona,3338,Month-to-month,No,No,Male,Fiber optic,Yes,"34.067932, -117.785168",34.067932,-117.785168,70.6,No,No,No,No,No,Mailed check,Yes,No,No,No,0,No,New Customers,1,70.6,91768
70,Network reliability,80,1,Rosemead,3676,Month-to-month,No,No,Male,Fiber optic,Yes,"34.065108, -118.082791",34.065108,-118.082791,85.4,Yes,Yes,No,Yes,Yes,Electronic check,Yes,No,No,No,2,Yes,New Customers,5,401.1,91770
71,Don't know,65,1,San Dimas,4839,Month-to-month,No,Yes,Female,Fiber optic,Yes,"34.102119, -117.815532",34.102119,-117.815532,105.05,Yes,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,4,No,Loyal Customers,52,5624.85,91773
72,Don't know,68,1,West Covina,4643,Month-to-month,No,Yes,Male,Fiber optic,Yes,"34.061634, -117.893169",34.061634,-117.893169,95.15,No,No,No,No,Yes,Mailed check,Yes,No,Yes,Yes,3,No,established customers,18,1779.95,91791
73,Don't know,97,1,Alhambra,4094,Month-to-month,No,No,Male,Fiber optic,Yes,"34.074736, -118.145959",34.074736,-118.145959,70,No,No,No,No,Yes,Electronic check,Yes,No,No,No,0,No,New Customers,1,70,91803
74,Poor expertise of online support,80,1,Alpine,4345,Month-to-month,No,No,Male,Fiber optic,Yes,"32.827184, -116.703729",32.827184,-116.703729,74.5,No,Yes,No,Yes,No,Electronic check,Yes,Yes,No,No,1,No,New Customers,8,606.55,91901
75,Poor expertise of phone support,83,1,Bonita,4061,Month-to-month,No,No,Male,DSL,No,"32.67117, -117.00232",32.67117,-117.00232,44.85,No,No,No,Yes,No,Credit card (automatic),Yes,No,No,No,0,No,New Customers,10,435.4,91902
76,Price too high,98,1,Boulevard,2018,Month-to-month,No,No,Male,Fiber optic,Yes,"32.677097, -116.304991",32.677097,-116.304991,76.1,Yes,No,No,Yes,No,Electronic check,Yes,Yes,No,No,0,No,established customers,24,1712.7,91905
77,Product dissatisfaction,80,1,Guatay,2565,Month-to-month,No,No,Female,Fiber optic,Yes,"32.857946, -116.561917",32.857946,-116.561917,73.6,No,No,Yes,Yes,No,Mailed check,Yes,No,No,No,1,No,New Customers,1,73.6,91931
78,Service dissatisfaction,85,1,Jacumba,3677,Month-to-month,No,No,Female,Fiber optic,Yes,"32.649787, -116.2237",32.649787,-116.2237,95.45,Yes,No,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes,2,No,New Customers,4,396.1,91934
79,Lack of self-service on Website,69,1,Mount Laguna,4105,Month-to-month,No,No,Male,Fiber optic,Yes,"32.830852, -116.444601",32.830852,-116.444601,74.9,Yes,No,No,Yes,Yes,Electronic check,Yes,Yes,No,No,0,No,established customers,32,2303.35,91948
80,Network reliability,69,1,Borrego Springs,5715,Month-to-month,No,No,Male,Fiber optic,Yes,"33.200369, -116.192313",33.200369,-116.192313,80.6,No,No,No,Yes,No,Electronic check,Yes,No,No,Yes,1,No,New Customers,5,415.55,92004
81,Limited range of services,81,1,Carlsbad,2071,One year,No,No,Female,DSL,No,"33.098018, -117.258203",33.098018,-117.258203,80.3,No,Yes,Yes,No,Yes,Credit card (automatic),Yes,No,Yes,Yes,5,Yes,established customers,38,3058.65,92009
82,Lack of affordable download/upload speed,73,1,Del Mar,2212,Month-to-month,No,Yes,Male,Fiber optic,Yes,"32.948262, -117.256086",32.948262,-117.256086,93.15,No,No,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,3,No,established customers,24,2231.05,92014
83,Long distance charges,83,1,El Cajon,4149,One year,No,No,Female,DSL,No,"32.79697, -116.969082",32.79697,-116.969082,82.45,Yes,Yes,Yes,No,No,Bank transfer (automatic),Yes,Yes,Yes,Yes,5,Yes,Loyal Customers,54,4350.1,92020
84,Extra data charges,73,1,Escondido,2671,Month-to-month,No,No,Female,Fiber optic,Yes,"33.079834, -117.134275",33.079834,-117.134275,70.35,No,No,No,Yes,No,Electronic check,Yes,Yes,No,No,0,No,New Customers,2,139.05,92029
85,Price too high,67,1,Oceanside,2473,Month-to-month,No,No,Female,Fiber optic,Yes,"33.254497, -117.285879",33.254497,-117.285879,73.85,Yes,No,No,Yes,No,Electronic check,Yes,No,No,No,0,No,New Customers,7,511.25,92057
86,Product dissatisfaction,92,1,Pala,2683,Month-to-month,No,Yes,Female,Fiber optic,Yes,"33.384345, -117.072619",33.384345,-117.072619,80.6,Yes,No,No,No,No,Mailed check,Yes,No,No,No,1,No,New Customers,2,155.8,92059
87,Service dissatisfaction,81,1,Palomar Mountain,4903,One year,No,Yes,Male,DSL,No,"33.309852, -116.823091",33.309852,-116.823091,75.8,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,No,4,Yes,Loyal Customers,68,5293.95,92060
88,Lack of self-service on Website,91,1,Pauma Valley,5250,Two year,No,Yes,Female,Fiber optic,Yes,"33.313828, -116.940501",33.313828,-116.940501,104.6,Yes,Yes,No,Yes,No,Electronic check,Yes,No,Yes,Yes,4,No,established customers,43,4759.85,92061
89,Network reliability,98,1,Ranchita,4352,Month-to-month,No,Yes,Male,Fiber optic,Yes,"33.215251, -116.53633",33.215251,-116.53633,103.4,Yes,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,4,No,Loyal Customers,63,6603,92066
90,Don't know,76,1,Valley Center,4157,Month-to-month,No,No,Female,Fiber optic,Yes,"33.25283, -116.986079",33.25283,-116.986079,90.4,No,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes,2,No,New Customers,2,168.2,92082
91,Don't know,73,1,San Diego,4939,Month-to-month,No,Yes,Male,Fiber optic,No,"32.747484, -117.166877",32.747484,-117.166877,84.8,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,No,No,No,2,No,New Customers,4,371.9,92103
92,Don't know,97,1,San Diego,4778,Month-to-month,No,No,Female,DSL,Yes,"32.741499, -117.127409",32.741499,-117.127409,41.9,No phone service,No,Yes,Yes,No,Electronic check,No,Yes,No,Yes,2,No,established customers,21,840.1,92104
93,Poor expertise of online support,85,1,San Diego,3598,Month-to-month,No,No,Female,Fiber optic,No,"32.741859, -117.090353",32.741859,-117.090353,80.25,No,No,No,Yes,No,Bank transfer (automatic),Yes,No,Yes,No,1,No,New Customers,10,846,92105
94,Poor expertise of phone support,91,1,San Diego,2927,Month-to-month,No,No,Male,DSL,No,"32.774046, -117.142454",32.774046,-117.142454,30.75,No phone service,No,Yes,No,Yes,Credit card (automatic),No,Yes,No,No,1,No,established customers,27,805.1,92108
95,Price too high,98,1,San Diego,5383,Month-to-month,No,Yes,Male,Fiber optic,No,"32.765299, -117.122565",32.765299,-117.122565,96.5,No,No,No,No,No,Bank transfer (automatic),Yes,No,Yes,Yes,3,No,New Customers,5,492.55,92116
96,Product dissatisfaction,73,1,San Diego,3878,Month-to-month,No,No,Male,Fiber optic,Yes,"32.85723, -117.209774",32.85723,-117.209774,85.65,Yes,No,No,Yes,No,Electronic check,Yes,No,No,Yes,1,No,New Customers,2,181.5,92122
97,Service dissatisfaction,66,1,San Diego,3642,Month-to-month,No,Yes,Female,Fiber optic,No,"32.961064, -117.134917",32.961064,-117.134917,104.95,Yes,No,No,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,4,Yes,established customers,25,2566.5,92129
98,Don't know,76,1,San Diego,2431,Month-to-month,No,No,Male,DSL,Yes,"32.578103, -117.012975",32.578103,-117.012975,50.65,No,Yes,No,No,No,Mailed check,Yes,No,No,No,1,No,New Customers,1,50.65,92154
99,Network reliability,81,1,Indio,3424,Month-to-month,No,No,Male,Fiber optic,No,"33.713891, -116.237257",33.713891,-116.237257,90.85,Yes,Yes,No,Yes,No,Credit card (automatic),Yes,No,Yes,No,2,No,New Customers,1,90.85,92201
100,Limited range of services,80,1,Indian Wells,5888,Month-to-month,No,No internet service,Male,No,Yes,"33.537646, -116.291089",33.537646,-116.291089,19.95,No,No internet service,No internet service,No,Yes,Mailed check,Yes,Yes,No internet service,No internet service,0,No internet service,New Customers,11,214.75,92210
101,Lack of affordable download/upload speed,100,1,Palm Desert,5502,Month-to-month,No,Yes,Female,Fiber optic,Yes,"33.762759, -116.324817",33.762759,-116.324817,85.45,Yes,Yes,No,Yes,Yes,Electronic check,Yes,Yes,No,No,2,No,Loyal Customers,55,4874.7,92211
102,Long distance charges,94,1,Desert Hot Springs,5795,Month-to-month,No,No,Female,Fiber optic,No,"33.948558, -116.516976",33.948558,-116.516976,73.95,No,Yes,No,Yes,No,Credit card (automatic),Yes,No,No,No,1,No,established customers,34,2524.45,92240
103,Extra data charges,80,1,Holtville,4020,Month-to-month,No,Yes,Male,Fiber optic,No,"32.811001, -115.152865",32.811001,-115.152865,99.45,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,No,Yes,Yes,3,No,Loyal Customers,69,7007.6,92250
104,Price too high,92,1,Niland,3351,Month-to-month,No,No internet service,Female,No,Yes,"33.345825, -115.596574",33.345825,-115.596574,19.9,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,New Customers,1,19.9,92257
105,Product dissatisfaction,95,1,North Palm Springs,3448,Month-to-month,No,No internet service,Male,No,Yes,"33.906496, -116.569499",33.906496,-116.569499,19.6,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,0,No internet service,New Customers,1,19.6,92258
106,Service dissatisfaction,73,1,Ocotillo,2818,Month-to-month,No,No,Male,Fiber optic,Yes,"32.698964, -115.886656",32.698964,-115.886656,81.35,Yes,Yes,No,Yes,No,Electronic check,Yes,Yes,No,No,1,No,New Customers,3,233.7,92259
